,Comments,Positive,Negative,Neutral,Compound,Sentiment
0,thanks video keni decided go tech  learning web development learnt bit html css javascript goals since evolved period got interested python programming data sciencemy current interest tends towards deep learning aiinteresting knowledge front end web development helpful web scraping,0.246,0.0,0.754,0.886,Positive
1,hello ken jee im graduation computer science really keen learn data science start learning python basics resources learning python could help providing link honest excitement learning data science get top notch watching video 😄,0.33,0.0,0.67,0.9152,Positive
2,thanks video man useful ill meet im senior lead data scientist company work,0.312,0.151,0.538,0.4588,Positive
3,great video started learning python  months ago quickly became interested ds background finaceecon never worked finance construction business goal learn ds work investments said im considering boot camp even masters ds would love get opinion thanks,0.303,0.0,0.697,0.9313,Positive
4,watching hours material tina know easy field i’ve fascinated ever since first found data analysis passion one thing feel came world role feel like it’s pinnacle give,0.333,0.0,0.667,0.8885,Positive
5,hey ken almost finishing university degreed market research  marketing going focus data sciencedata engineering currently friends telling buy  macbook sure compatibilities osx familiarised macs always windows user think good idea better stick zbooks similar windows laptop,0.259,0.0,0.741,0.8807,Positive
6,basically modest say silver bullet get good role is➡️to software engineerdevelopment education  experienceelse➡️to submerged  roles current situation sometimes unlikely analyst scientist➡️if none get either three things recommended required without work portfolio professional otherwise intensively hard,0.123,0.037,0.84,0.5106,Positive
7,hi ken always videos insightful easy follow would say  one main distinctions data analyst data scientist analyst focuses happened scientist looking future possible outcomes thanks much hard work helping us,0.226,0.04,0.734,0.765,Positive
8,watching second time working well im huge geek fanboi,0.361,0.148,0.492,0.3818,Positive
9,good resume templates use,0.492,0.0,0.508,0.4404,Positive
10,like bayesian probably,0.556,0.0,0.444,0.3612,Positive
11,hey ken great introductory video thanks  small projects involving blockchain example scrape blockchain data using beautifulsoup selenium apis well documented free said “new tools” work blockchain data mean also looking projects would love brainstorm come ideas already working one would great discuss ,0.365,0.0,0.635,0.967,Positive
12,hey ken would love hear opinion regarding graduate program depaul think good program someone without formal cs background studied quantitative economics undergrad without programming experience except statistical programs like eviews stata spss currently internship fortune  company data analyst craft data modelling analysis visualization skills using  power excel powerbi sql python spark matplotlib pandas etc,0.228,0.0,0.772,0.926,Positive
13,thank sir ⚡,0.714,0.0,0.286,0.3612,Positive
14,great shove video parents face next time ask plan later life lmao,0.444,0.0,0.556,0.8402,Positive
15,sir im bangladesh bachelor math go data science,0.0,0.0,1.0,0.0,Neutral
16,hey kenwhat choose bachelor business administration major finance itto continue data science,0.0,0.0,1.0,0.0,Neutral
17,thank amazing series really helpful,0.824,0.0,0.176,0.8553,Positive
18,danger robinson always ,0.0,0.63,0.37,-0.5267,Negative
19, ignore r studio column dfmodel ,0.0,0.455,0.545,-0.3612,Negative
20,glassdoor made html scrapeproof tried reproducing code couldnt comprehend could access elements company name salary est location etc elements divs job ids class name extra attributes access anyone workaround please help possible anyone share link dataset scraped really want follow along tutorial thanks advance,0.231,0.0,0.769,0.8655,Positive
21,thank video always  want korean subtitle  ,0.487,0.0,0.513,0.4215,Positive
22,wow video brilliant problem title looks like clickbait actually delivers promises hahaso much chatter around data science days voices really know field even fewer clarity generosity share approachableuseful videos like congratulations quality work big thank,0.527,0.048,0.425,0.9779,Positive
23,guy 🤣,0.0,0.0,1.0,0.0,Neutral
24,thank high quality videos,0.455,0.0,0.545,0.3612,Positive
25,hey ken wondering think many people using single account netflix amazon prime video must impact recommendation generated account also affect useruser similarity used recommendations,0.069,0.0,0.931,0.1779,Positive
26,arrrrrgggghhhhhh  audio,0.0,0.0,1.0,0.0,Neutral
27,isnt relevant data science successfully catch attention,0.348,0.0,0.652,0.4939,Positive
28,really catch trend,0.0,0.0,1.0,0.0,Neutral
29,boring answer yet practical,0.0,0.434,0.566,-0.3182,Negative
30,im  want live asia work remotely choose,0.178,0.0,0.822,0.0772,Positive
31,get job way,0.0,0.0,1.0,0.0,Neutral
32,realisable apply deep learning real project four months starting scratch field ,0.0,0.0,1.0,0.0,Neutral
33,xqcl,0.0,0.0,1.0,0.0,Neutral
34,saw comment another video reminds audience u  long time see ken  glad see u almost  followers right  congrats,0.305,0.0,0.695,0.73,Positive
35,hey ken make video highschool students want learn data science,0.126,0.0,0.874,0.0772,Positive
36,audio’s bit 🤨,0.0,0.0,1.0,0.0,Neutral
37,owns kaggle,0.0,0.0,1.0,0.0,Neutral
38,data scientist sounds really interesting could expand future videos,0.443,0.0,0.557,0.6764,Positive
39,ken dropping papaya nft collectionthenftsweneed 🍈🚀 papayasinctothemoon,0.0,0.0,1.0,0.0,Neutral
40,enjoy work data cryptography niche databases lot projects way qb  graph data   data science could interesting,0.296,0.0,0.704,0.7096,Positive
